name,employee_id,leave_type,start,end,outcome,breached,pass,why
casual unpaid leave allowed,SYN007142,UNPAID,2026-10-10,2026-10-14,RECOMMEND_APPROVE,"",true,""
casual without balance: annual not available,SYN007682,ANNUAL,2026-10-10,2026-10-14,DECLINED,BAL-001|COV-002|ELG-002,true,""
casual unpaid leave allowed,SYN007682,UNPAID,2026-10-10,2026-10-14,NEEDS_APPROVAL,COV-002,true,""
casual without balance: annual not available,SYN008076,ANNUAL,2026-10-10,2026-10-14,DECLINED,BAL-003|ELG-002,true,""
casual unpaid leave allowed,SYN008076,UNPAID,2026-10-10,2026-10-14,RECOMMEND_APPROVE,"",true,""
leave after contract end -> manager confirms,SYN005688,ANNUAL,2026-11-20,2026-11-21,NEEDS_APPROVAL,ELG-001,true,""
leave after contract end -> manager confirms,SYN002718,ANNUAL,2026-11-06,2026-11-07,NEEDS_APPROVAL,ELG-001,true,""
leave after contract end -> manager confirms,SYN006025,ANNUAL,2026-11-06,2026-11-07,NEEDS_APPROVAL,ELG-001,true,""
balance too low,SYN002489,ANNUAL,2026-10-10,2026-10-19,DECLINED,BAL-001,true,""
balance too low,SYN000030,ANNUAL,2026-10-10,2026-10-19,DECLINED,BAL-001,true,""
balance too low,SYN004186,ANNUAL,2026-10-10,2026-10-19,DECLINED,BAL-001,true,""
LSL without entitlement,SYN007000,LONG_SERVICE,2026-10-10,2026-10-14,DECLINED,BAL-001|ELG-003|NOT-002,true,""
LSL without entitlement,SYN008814,LONG_SERVICE,2026-10-10,2026-10-14,DECLINED,BAL-001|ELG-003|NOT-002,true,""
LSL without entitlement,SYN006769,LONG_SERVICE,2026-10-10,2026-10-14,DECLINED,BAL-001|ELG-003|NOT-002,true,""
excess leave flagged,SYN003358,ANNUAL,2026-10-10,2026-10-14,RECOMMEND_APPROVE,"",true,""
excess leave flagged,SYN006640,ANNUAL,2026-10-10,2026-10-14,RECOMMEND_APPROVE,"",true,""
excess leave flagged,SYN002216,ANNUAL,2026-10-10,2026-10-14,RECOMMEND_APPROVE,"",true,""
"cover plans: no double booking, no leave clash, role matrix respected (60 plans)","","","","","","",true,0 violations
fatigue: 5.5 h after a night is rejected (FAT-001/FAT-002),SYN001753,"","","","","",true,{'FAT-001'}
fatigue: 8th consecutive duty rejected (FAT-003),SYN001753,"","","","","",true,{'FAT-003'}
fatigue: 5th consecutive day with 2 days off is fine,SYN001753,"","","","","",true,set()
