employee_id,leave_type,start,end,expected,source,outcome,breached,pass
SYN001764,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN004198,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN004012,PROF_DEV,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN001014,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006354,ANNUAL,2026-09-21,2026-09-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004799,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN009100,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-002|NOT-001,true
SYN005606,LONG_SERVICE,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN007290,ADO,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,REQ-004,true
SYN005372,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN000929,ANNUAL,2026-09-21,2026-10-28,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN007260,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN003669,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN000977,ANNUAL,2026-09-21,2026-12-13,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN004638,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN006685,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN005109,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN007498,ANNUAL,2026-09-21,2026-10-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN002725,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN005953,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000895,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN007197,ANNUAL,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004378,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006262,LONG_SERVICE,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-002,true
SYN008208,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-001|ELG-002|NOT-001,true
SYN001238,LONG_SERVICE,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN002350,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN003277,LONG_SERVICE,2026-09-21,2026-12-03,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002|COV-001,false
SYN006040,TOIL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN008761,ANNUAL,2026-09-21,2026-10-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001|COV-001,false
SYN008097,LONG_SERVICE,2026-09-21,2026-10-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN006562,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN009193,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN002059,ANNUAL,2026-09-21,2026-10-02,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006331,ANNUAL,2026-09-21,2026-10-17,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN000445,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004993,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN003408,PROF_DEV,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN004886,LONG_SERVICE,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-002,true
SYN006762,ANNUAL,2026-09-21,2026-09-29,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN008300,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN008592,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006520,LONG_SERVICE,2026-09-21,2026-12-05,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-002,true
SYN006072,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN004670,ANNUAL,2026-09-21,2026-10-03,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-001,true
SYN001022,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN009487,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN004489,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN008755,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-001,true
SYN004033,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN008511,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN008569,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN001060,PROF_DEV,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-004|COV-001|COV-003,false
SYN000824,TOIL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN003287,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001|COV-002,false
SYN005720,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001161,ANNUAL,2026-09-21,2026-09-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN008737,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN002185,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001434,ANNUAL,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN007325,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003|NOT-001,true
SYN008312,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001911,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN005334,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN008984,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-001,true
SYN008882,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-001,true
SYN003043,ANNUAL,2026-09-21,2026-10-02,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001504,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000116,ADO,2026-09-21,2026-09-29,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,REQ-004|BAL-003,true
SYN004803,LONG_SERVICE,2026-09-21,2026-11-01,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-001|ELG-003|BAL-001|NOT-002,true
SYN000437,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN007462,ANNUAL,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN004522,ANNUAL,2026-09-21,2026-09-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN002976,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN003804,LONG_SERVICE,2026-09-21,2026-10-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN001940,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001931,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN002012,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN000064,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004712,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN004058,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN008506,PROF_DEV,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN007349,ADO,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|COV-002,false
SYN004017,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN003346,LONG_SERVICE,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN002701,PROF_DEV,2026-09-21,2026-09-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-004,true
SYN006840,ANNUAL,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005448,LONG_SERVICE,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN000675,ADO,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,REQ-004|ELG-002|BAL-001,true
SYN003452,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN008939,ANNUAL,2026-09-21,2026-10-09,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-001|BAL-001|NOT-001|COV-002,false
SYN003010,TOIL,2026-09-21,2026-09-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,COV-002,true
SYN000747,LONG_SERVICE,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN004804,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN007034,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN007842,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005941,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001875,LONG_SERVICE,2026-09-21,2026-11-08,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-002,true
SYN009155,LONG_SERVICE,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-002,true
SYN005896,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004023,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN007602,ANNUAL,2026-09-21,2026-11-15,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN005016,ANNUAL,2026-09-21,2026-10-09,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005534,TOIL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN003127,ANNUAL,2026-09-21,2026-10-05,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN004690,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN001589,TOIL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN002726,ADO,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,REQ-004,true
SYN004617,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001|COV-001,false
SYN009296,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001|COV-002,false
SYN007932,ANNUAL,2026-09-21,2026-10-02,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN004811,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001843,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN005418,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN008581,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-001,true
SYN000392,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001948,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006016,ANNUAL,2026-09-21,2026-11-12,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN005331,PROF_DEV,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003|NOT-004,true
SYN003904,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000926,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN005604,TOIL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN003151,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,BAL-003,true
SYN001319,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN006125,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN005419,PROF_DEV,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN007459,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000442,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005426,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006268,LONG_SERVICE,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN006279,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN005757,ANNUAL,2026-09-21,2026-10-14,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN007289,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,COV-002,true
SYN008121,LONG_SERVICE,2026-09-21,2026-10-20,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN006259,PROF_DEV,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-004,true
