employee_id,leave_record_type,leave_status_name,leave_type_code,leave_type_name,leave_reason_name,leave_start_date,leave_end_date,leave_hours,calendar_days,quality_flag,leave_family,rostered_shifts_in_leave,rostered_hours_in_leave,unit_of_shifts,shift_categories,position_name,rate_grouping,role_class,occupational_group,employee_overall_job_type,agreement_family,contract_hours,fte,terms_of_employment_description,position_entry_end_date,primary_roster_unit,roster_window_start,roster_window_end,al_remaining_hours,al_booked_hours,al_excess_flag,starts_inside_roster_window,lead_days_from_2026_09_19,contract_ends_before_leave_ends
SYN009166,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-19,2027-01-10,2040.0,357,OK,OTHER,90,720.0,SU0439,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,FIXED TERM,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),2026-12-10,SU0439,2026-05-25,2026-09-25,,,,false,-243,true
SYN009559,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-01-19,2026-09-27,1152.0,252,OK,UNPAID,72,576.0,SU0326,AM,Other Medical Support Services Clinician,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,2049-12-10,SU0326,2026-05-25,2026-09-25,,,,false,-243,false
SYN007271,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-19,2027-01-17,2080.0,364,OK,OTHER,92,728.5,SU0439,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,FIXED TERM,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",2027-02-13,SU0439,2026-06-01,2026-10-02,,,,false,-243,false
SYN007834,Booked Leave,Future,LS,LONG SERVICE LEAVE,LONG SERVICE LEAVE,2026-01-19,2026-10-11,825.28,266,OK,LONG_SERVICE,34,272.0,SU0405,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",,SU0405,2026-06-15,2026-10-14,524.447022,135.704566,1,false,-243,
SYN008271,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-19,2027-01-10,2040.0,357,OK,OTHER,90,720.0,SU0439,AM,Geriatric Medicine Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRAC (SNR FT) IND AGR,2026-09-20,SU0439,2026-05-25,2026-09-25,,,,false,-243,true
SYN005920,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-26,2027-01-24,2080.0,364,OK,OTHER,90,720.0,SU0439,AM,Occupational Therapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,45.6,0.6,HSUWA PACTS IND AGMT,2026-12-27,SU0439,2026-06-08,2026-10-09,,,,false,-236,true
SYN002454,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2026-01-27,2027-01-22,1968.4,361,OK,UNPAID,90,684.9,SU0150,AM,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,64.0,0.842,EN NSE & NUR ASS (76),,SU0150,2026-06-29,2026-10-30,,,,false,-235,
SYN008969,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-02-09,2027-01-08,1824.0,334,OK,UNPAID,90,684.0,SU0146,AM,Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,CASUAL,AMA,0.0,0.0,MED PRAC (SNR FT) IND AGR,2026-11-01,SU0146,2026-06-22,2026-10-23,,,,false,-222,true
SYN007846,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-02-09,2027-02-08,1827.0,365,OK,UNPAID,90,630.0,SU0377,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2026-11-05,SU0377,2026-06-22,2026-10-23,,,,false,-222,true
SYN002452,Booked Leave,Future,OT,OTHER LEAVE,SECONDMENT NO ANN. LEAVE,2026-02-09,2027-02-09,2096.0,366,OK,OTHER,90,720.0,SU0027,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",,SU0027,2026-06-22,2026-10-23,,,,false,-222,
SYN002109,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-02-16,2026-11-08,577.6,266,OK,UNPAID,36,274.95,SU0333,AM,Dietitian,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,30.4,0.4,HSUWA PACTS IND AGMT,2027-02-28,SU0333,2026-07-08,2026-11-08,52.846295,22.799917,0,false,-215,false
SYN002383,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-02-16,2027-02-07,2040.0,357,OK,OTHER,90,720.0,SU0439,AM,Pharmacy Technician,HSU GEN DIV L3,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,HSUWA,60.8,0.8,HSUWA PACTS IND AGMT,,SU0439,2026-06-22,2026-10-23,,,,false,-215,
SYN000562,Booked Leave,Future,DL,MED PRACT AL ADDIT LVE,MED PRACT AL ADDIT LVE,2026-02-16,2027-02-14,208.0,364,OK,ANNUAL,18,72.0,SU0440,AM,Senior Medical Registrar,SENIOR REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-08-22,SU0440,2026-07-02,2026-10-29,0.0,406.4436,0,false,-215,false
SYN006829,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-02-16,2027-02-14,2080.0,364,OK,OTHER,90,720.0,SU0439,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,64.0,0.842,WA HEALTH MIDWIFERY AGMT,,SU0439,2026-06-29,2026-10-30,,,,false,-215,
SYN008858,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2026-02-16,2027-01-15,912.0,334,OK,UNPAID,45,342.0,SU0288,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-03-14,SU0288,2026-06-22,2026-10-20,,,,false,-215,false
SYN007995,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-02-23,2026-12-15,1358.0,296,OK,UNPAID,63,576.0,SU0019,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,CASUAL,UWU_EN_AIN,0.0,0.0,EN NSE & NUR ASS (76),2027-04-11,SU0019,2026-07-06,2026-11-06,,,,false,-208,false
SYN001610,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-02-23,2027-02-21,2080.0,364,OK,OTHER,90,720.0,SU0439,AM,Medical Officer,PSYCHIATRIST (TRAINEE),MED_REGISTRAR,MEDICAL,CASUAL,AMA,0.0,0.0,MED PRACT (DIT) IND AGR,2027-02-21,SU0439,2026-07-06,2026-11-06,,,,false,-208,false
SYN008350,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-02-23,2027-02-14,408.0,357,OK,UNPAID,34,136.0,SU0370,PM,Clinical Psychologist,CLINICAL PSYCHOLOGIST (HSU),ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,38.0,0.5,HSUWA PACTS IND AGMT,,SU0370,2026-07-18,2026-11-08,,,,false,-208,
SYN004627,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-02-23,2027-02-21,2080.0,364,OK,OTHER,90,720.0,SU0439,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-03-27,SU0439,2026-07-06,2026-11-08,,,,false,-208,false
SYN005552,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-02-23,2026-09-06,224.0,196,OK,PARENTAL,15,120.0,SU0404,AM,Anaesthesia Technician,HSU GEN DIV L6,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,,SU0404,2026-05-25,2026-09-17,,,,false,-208,
SYN005672,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2026-02-25,2027-01-17,1770.8,327,OK,UNPAID,90,679.5,SU0287,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,38.0,0.5,"ANF - RN, EN(MH) IND AGR",,SU0287,2026-06-08,2026-10-09,0.0,0.0,0,false,-206,
SYN003522,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-03-02,2026-11-29,780.0,273,OK,UNPAID,90,360.0,SU0335,PM,Occupational Therapist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,38.0,0.5,HSUWA PACTS IND AGMT,2026-08-23,SU0335,2026-05-18,2026-09-18,,,,false,-201,true
SYN005282,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-06,2026-09-14,984.0,193,OK,PARENTAL,69,552.0,SU0010,PM,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),,SU0010,2026-06-01,2026-10-02,,,,false,-197,
SYN004712,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-09,2026-09-20,638.4,196,OK,PARENTAL,45,342.0,SU0168,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0168,2026-06-08,2026-10-08,,,,false,-194,
SYN001928,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-09,2026-09-20,1008.0,196,OK,PARENTAL,64,576.0,SU0326,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",2027-02-07,SU0326,2026-06-01,2026-10-01,,,,false,-194,false
SYN004199,Booked Leave,Future,LW,LEAVE WITHOUT PAY,028OS,2026-03-09,2027-01-31,480.0,329,OK,UNPAID,18,180.0,SU0020,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,60.0,0.789,"ANF - RN, EN(MH) IND AGR",,SU0020,2026-06-15,2026-10-07,,,,false,-194,
SYN005610,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-09,2026-09-20,1120.0,196,OK,PARENTAL,60,600.0,SU0383,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,PERMANENT,UWU_EN_AIN,80.0,1.053,EN NSE & NUR ASS (76),,SU0383,2026-06-08,2026-10-09,,,,false,-194,
SYN004189,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-03-23,2027-04-04,972.0,378,OK,UNPAID,72,324.0,SU0325,AM,Registered Nurse,SENIOR REGISTERED NURSE L3,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0325,2026-06-15,2026-10-15,,,,false,-180,
SYN008316,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL AVG HRS HALFPAY,2026-03-23,2026-10-04,1008.0,196,OK,PARENTAL,86,648.0,SU0019,PM|AM,Clinical Psychologist,CLINICAL PSYCHOLOGIST (HSU),ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,30.4,0.4,HSUWA PACTS IND AGMT,,SU0019,2026-05-18,2026-09-18,,,,false,-180,
SYN000598,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-03-23,2027-01-10,1680.0,294,OK,OTHER,90,720.0,SU0439,AM,Surgery Medical Registrar,REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-10,SU0439,2026-05-25,2026-09-25,,,,false,-180,false
SYN007125,Booked Leave,Future,OT,OTHER LEAVE,SECONDMENT NO ANN. LEAVE,2026-03-30,2026-12-01,1079.2,247,OK,OTHER,72,550.8,SU0113,AM,Occupational Therapist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,2027-01-31,SU0113,2026-06-08,2026-10-09,,,,false,-173,false
SYN005407,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-30,2026-10-11,672.0,196,OK,PARENTAL,72,432.0,SU0019,PM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,32.0,0.421,"ANF - RN, EN(MH) IND AGR",,SU0019,2026-06-08,2026-10-08,,,,false,-173,
SYN009519,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-03-30,2027-02-21,1880.0,329,OK,OTHER,90,720.0,SU0439,AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,CASUAL,UWU_EN_AIN,0.0,0.0,EN NSE & NUR ASS (76),2027-03-27,SU0439,2026-07-06,2026-11-06,,,,false,-173,false
SYN008554,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-30,2026-10-11,756.0,196,OK,PARENTAL,54,486.0,SU0374,AM,Enrolled Nurse,ENROLLED NURSE GRADUATE,NURSE_EN,NURSING,FIXED TERM,UWU_EN_AIN,72.0,0.947,EN NSE & NUR ASS (76),2027-01-24,SU0374,2026-05-18,2026-09-17,,,,false,-173,false
SYN004492,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-30,2026-10-09,1064.0,194,OK,PARENTAL,85,646.0,SU0107,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",2027-07-11,SU0107,2026-06-15,2026-10-16,,,,false,-173,false
SYN002150,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-03-30,2026-10-17,928.0,202,OK,UNPAID,60,480.0,SU0348,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",,SU0348,2026-07-06,2026-11-06,,,,false,-173,
SYN000279,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2026-03-30,2027-03-29,1982.8,365,OK,UNPAID,108,688.5,SU0286,AM,Enrolled Nurse,ENROLLED NURSE,NURSE_EN,NURSING,PERMANENT,UWU_EN_AIN,76.0,1.0,ENROLLED NURSES AND NURSING ASSISTS AGMT,2049-12-17,SU0286,2026-06-01,2026-10-03,,,,false,-173,false
SYN003500,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-03-30,2026-10-11,971.6,196,OK,PARENTAL,80,555.2,SU0327,AM,Social Worker,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,60.8,0.8,HSUWA PACTS IND AGMT,,SU0327,2026-06-22,2026-10-23,,,,false,-173,
SYN006385,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-04,2026-10-16,1008.0,196,OK,PARENTAL,98,784.0,SU0250,AM,Other Medical Support Services Clinician,HSU GEN DIV L3,SUPPORT_OTHER,MEDICAL SUPPORT,PERMANENT,HSUWA,38.0,0.5,HSUWA PACTS IND AGMT,,SU0249,2026-05-18,2026-09-18,,,,false,-168,
SYN004583,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-06,2026-09-20,912.0,168,OK,UNPAID,85,643.75,SU0287,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,64.0,0.842,"ANF - RN, EN(MH) IND AGR",,SU0287,2026-05-25,2026-09-18,,,,false,-166,
SYN007954,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-06,2026-10-18,1008.0,196,OK,PARENTAL,81,648.0,SU0377,PM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,60.0,0.789,"ANF - RN, EN(MH) IND AGR",,SU0377,2026-06-16,2026-10-16,,,,false,-166,
SYN001740,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-06,2026-10-25,1044.0,203,OK,UNPAID,72,648.0,SU0325,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,48.0,0.632,"ANF - RN, EN(MH) IND AGR",,SU0325,2026-06-09,2026-10-09,,,,false,-166,
SYN003986,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-06,2026-09-13,828.0,161,OK,UNPAID,75,540.0,SU0351,AM,Registered Nurse,SENIOR REGISTERED NURSE L3,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0351,2026-06-01,2026-10-02,3.025269,20.45483,0,false,-166,
SYN008646,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-08,2026-10-20,560.0,196,OK,PARENTAL,35,350.0,SU0383,AM,Psychiatry Consultant Medical Officer,CONSULTANT,MED_SENIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRAC (SNR FT) IND AGR,2028-11-17,SU0383,2026-06-24,2026-10-21,140.233442,89.759456,0,false,-164,false
SYN006427,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-13,2027-03-11,1144.0,333,OK,UNPAID,54,432.0,SU0019,PM|AM,Assistant in Nursing,ASSISTANT IN NURSING,NURSE_AIN,NURSING,PERMANENT,UWU_EN_AIN,48.0,0.632,EN NSE & NUR ASS (76),,SU0019,2026-06-22,2026-10-23,,,,false,-159,
SYN009306,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-13,2026-09-28,968.0,169,OK,UNPAID,76,608.0,SU0439,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-07-20,SU0439,2026-06-15,2026-10-16,,,,false,-159,false
SYN006216,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-20,2026-11-01,896.0,196,OK,PARENTAL,68,544.0,SU0368,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,48.0,0.632,"ANF - RN, EN(MH) IND AGR",,SU0368,2026-07-06,2026-11-05,305.241561,52.549937,1,false,-152,
SYN000677,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-20,2026-10-11,200.0,175,OK,UNPAID,17,136.0,SU0010,AM,Senior Medical Registrar,SENIOR REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2028-02-06,SU0010,2026-06-16,2026-10-06,,,,false,-152,false
SYN000751,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-04-20,2027-01-05,1496.0,261,OK,UNPAID,90,720.0,SU0435,AM,Medical Registrar,REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2028-01-30,SU0435,2026-06-08,2026-10-09,,,,false,-152,false
SYN003776,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-20,2026-11-01,112.0,196,OK,PARENTAL,16,64.0,SU0258,PM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,60.0,0.789,"ANF - RN, EN(MH) IND AGR",,SU0258,2026-07-17,2026-11-13,,,,false,-152,
SYN000701,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-20,2026-11-01,840.0,196,OK,PARENTAL,88,938.5,SU0369,AM|ONCALL_24H|NIGHT,Respiratory Medicine Medical Registrar,REGISTRAR,MED_REGISTRAR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2027-01-10,SU0369,2026-05-25,2026-09-24,56.0,0.0,0,false,-152,false
SYN008687,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-20,2026-11-01,1008.0,196,OK,PARENTAL,81,648.0,SU0369,AM,Podiatrist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,HSUWA,60.8,0.8,HSUWA PACTS IND AGMT,2026-11-02,SU0369,2026-06-16,2026-10-16,19.725,60.0,0,false,-152,false
SYN005537,Booked Leave,Future,PL,PAID PARENTAL LEAVE,PARENTAL ORD HRS HALFPAY,2026-04-20,2026-09-20,660.0,154,OK,PARENTAL,61,460.0,SU0037,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",,SU0037,2026-06-01,2026-10-02,,,,false,-152,
SYN006544,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-04-20,2027-01-10,1520.0,266,OK,OTHER,90,720.0,SU0439,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,PERMANENT,ANF,72.0,0.947,"ANF - RN, EN(MH) IND AGR",,SU0439,2026-05-25,2026-09-25,,,,false,-152,
